SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1525.35,1554.00,1505.00,1513.10,1508.00,1509.85,1147,16720,25446565.00,
500003,AEGIS LOGIS ,A ,Q,218.20,230.00,217.80,227.75,227.75,219.55,553,15414,3480178.00,
500008,AMAR RAJA BA,A ,Q,622.20,624.05,608.00,620.50,620.50,625.45,1494,51975,31915890.00,
500009,A.SARABHAI  ,X ,Q,12.31,13.95,12.31,13.88,13.93,12.88,82,14277,190704.00,
500010,HDFC        ,A ,Q,2171.05,2201.55,2164.00,2197.00,2197.00,2183.30,2414,59205,129319496.00,
500012,ANDHRA PETRO,X ,Q,58.70,58.70,56.05,56.65,56.65,56.75,267,27238,1541813.00,
500013,ANSAL INFRAS,B ,Q,6.50,6.80,5.91,6.08,6.08,6.23,69,21134,130159.00,
500014,APPLE FINANC,XT,Q,1.64,1.64,1.50,1.55,1.55,1.57,25,7928,12909.00,
500016,ARUNAHTEL   ,XT,Q,6.42,6.42,6.42,6.42,6.42,6.75,1,90,577.00,
500020,BOM DYEING  ,A ,Q,117.05,118.05,111.15,114.55,114.55,118.50,2068,220396,25254931.00,
500023,ASIANHOTNR  ,B ,Q,127.00,129.00,127.00,127.90,129.00,123.00,2,80,10230.00,
500024,ASSAMCO     ,T ,Q,1.51,1.52,1.45,1.52,1.52,1.47,42,41486,62492.00,
500027,ATUL LTD.   ,A ,Q,4160.00,4160.00,4093.25,4099.60,4099.60,4124.25,394,886,3638115.00,
500028,ATV PROJECTS,XT,Q,3.70,3.71,3.68,3.70,3.70,3.87,8,4956,18351.00,
500029,AUTOLITE(I) ,Z ,Q,28.20,28.20,28.20,28.20,28.20,29.40,4,450,12690.00,
500031,BAJAJ ELECT.,A ,Q,510.70,512.90,500.55,506.00,506.00,509.25,283,5714,2882955.00,
500032,BAJAJHIND   ,B ,Q,8.56,8.71,8.47,8.53,8.53,8.64,157,228773,1955235.00,
500033,FORCE MOTR  ,A ,Q,1484.10,1499.55,1455.10,1470.90,1470.90,1484.10,1050,8371,12303626.00,
500034,BAJFINANCE  ,A ,Q,3514.95,3550.00,3498.40,3542.85,3542.85,3510.10,2317,48729,171712892.00,
500038,BALRAM.CHINI,A ,Q,156.30,157.75,152.80,155.80,155.80,153.55,634,68389,10571396.00,
500039,BANCO PROD. ,B ,Q,133.75,133.85,131.00,132.20,132.00,133.55,78,3522,464186.00,
500040,CENTURY TEXT,A ,Q,990.90,990.90,966.80,982.75,981.90,981.70,821,29098,28501044.00,
500041,BANNARI AMAN,B ,Q,1480.00,1480.00,1425.05,1425.05,1425.05,1489.90,12,366,530705.00,
500042,BASF INDIA  ,A ,Q,1404.55,1405.65,1377.75,1390.90,1390.90,1408.15,210,1141,1591407.00,
500043,BATA INDIA  ,A ,Q,1432.95,1438.25,1424.05,1434.55,1437.50,1429.45,1538,42109,60348256.00,
500048,BEML LTD    ,A ,Q,924.00,925.90,894.45,917.95,915.00,920.25,1856,64200,58480345.00,
500049,BHARAT ELECT,A ,Q,107.75,110.20,107.25,110.05,110.05,107.30,2227,527510,57375951.00,
500052,BHANSALI ENG,B ,Q,66.00,69.00,65.50,67.85,67.85,66.35,987,110123,7357952.00,
500055,TATASTLBSL  ,B ,Q,30.50,30.55,29.85,30.10,30.10,30.60,218,44969,1355295.00,
500058,BIHAR SPONGE,XT,Q,0.97,1.07,0.97,1.07,1.07,1.02,8,3911,3795.00,
500059,BINANI IND. ,Z ,Q,20.40,20.40,20.40,20.40,20.40,21.45,16,1362,27784.00,
500060,BIRLACABLE  ,B ,Q,102.60,102.60,99.15,100.25,100.00,101.15,77,3664,367081.00,
500067,BLUE STAR   ,A ,Q,798.00,804.45,790.00,792.60,790.00,791.35,100,976,775006.00,
500068,DISA INDIA  ,X ,Q,5779.00,5969.00,5779.00,5969.00,5969.00,5995.95,4,4,23526.00,
500069,BNK CAPITAL ,X ,Q,89.00,91.30,85.55,90.00,90.00,87.00,11,1854,167506.00,
500074,BPL LTD.    ,B ,Q,23.60,24.00,23.25,23.55,23.50,23.80,171,20710,489133.00,
500078,OAL         ,X ,Q,210.00,212.95,201.00,202.05,202.00,208.35,118,14427,2945259.00,
500083,CENTURY EXT ,B ,Q,4.30,4.30,4.10,4.18,4.10,4.30,16,4454,18569.00,
500084,CESC LTD.   ,A ,Q,757.60,762.65,751.50,758.00,757.70,759.70,342,5912,4480551.00,
500085,CHAMBAL FERT,A ,Q,180.05,180.30,174.80,176.25,175.10,181.45,485,19253,3412240.00,
500086,EXIDE IND.  ,A ,Q,210.10,210.40,205.75,206.85,207.20,209.90,1122,72191,14949989.00,
500087,CIPLA LTD.  ,A ,Q,561.05,566.00,559.70,562.80,564.00,561.05,1229,64203,36174372.00,
500092,CRISIL LTD  ,A ,Q,1468.35,1469.90,1425.00,1427.10,1432.00,1458.05,212,852,1226458.00,
500093,CGPOWER     ,A ,Q,31.00,32.15,30.85,31.85,31.85,31.60,1229,602610,19027759.00,
500096,DABUR (I)   ,A ,Q,409.95,410.10,406.10,408.55,409.80,408.65,595,33078,13505809.00,
500097,DALMIASUG   ,B ,Q,110.20,110.85,107.15,109.55,109.65,110.55,234,16106,1763487.00,
500101,ARVIND Ltd  ,A ,Q,74.75,75.30,71.75,74.15,74.15,75.25,877,244704,17895262.00,
500102,BALARPUR IND,B ,Q,2.27,2.48,2.24,2.45,2.33,2.27,151,262875,626953.00,
500103,BHEL        ,A ,Q,68.30,69.20,67.80,68.75,68.75,68.30,2461,606192,41607069.00,
500104,HIND.PETRO  ,A ,Q,306.80,311.00,303.85,309.60,309.00,302.85,3598,340537,104772548.00,
500106,IFCI LTD    ,A ,Q,9.00,9.00,8.75,8.94,8.94,9.09,532,377906,3353350.00,
500108,MAHA.TELE   ,B ,Q,9.00,9.15,8.50,8.63,8.63,9.00,697,429652,3743719.00,
500109,MRPL        ,A ,Q,60.85,60.85,58.80,59.00,58.80,60.55,264,42092,2503307.00,
500110,CHENNAI PET.,A ,Q,217.80,219.45,212.75,214.50,214.20,216.20,262,12216,2626265.00,
500111,REL.CAP.    ,A ,Q,85.50,86.60,82.00,84.40,84.40,87.50,15158,3172862,266445350.00,
500112,STATE BANK  ,A ,Q,342.20,347.00,339.55,346.30,346.30,344.20,7231,1997665,682823343.00,
500113,STEEL AUTH. ,A ,Q,51.50,51.90,49.75,51.45,51.45,50.30,4125,2341042,119291389.00,
500114,TITAN       ,A ,Q,1285.45,1298.00,1277.20,1293.60,1293.60,1285.45,1852,56093,72157406.00,
500116,IDBI BANK L ,A ,Q,36.15,36.65,35.35,36.20,36.20,36.40,1342,891839,32139089.00,
500117,DCW LTD.    ,B ,Q,18.05,18.15,17.50,17.60,17.85,18.00,79,24842,441836.00,
500119,DHAMPUR SUGA,B ,Q,210.30,213.95,210.25,211.80,211.80,212.20,350,19614,4161528.00,
500120,DIAMINES&CHM,X ,Q,118.00,122.00,116.50,120.45,120.45,118.55,69,5700,683952.00,
500123,ELANTAS     ,B ,Q,2152.55,2159.85,2135.25,2154.65,2157.40,2179.00,20,93,199898.00,
500124,DR.REDDY'S  ,A ,Q,2595.35,2601.30,2559.65,2586.15,2586.15,2590.35,1512,23020,59339250.00,
500125,E.I.D.PAR   ,A ,Q,175.10,175.15,170.10,170.85,170.75,174.75,212,7907,1355987.00,
500126,PGHL        ,A ,Q,3956.00,3979.80,3909.00,3963.50,3960.00,3950.20,226,1413,5574823.00,
500128,ELEC.CASTING,B ,Q,17.55,17.75,17.30,17.65,17.70,17.70,95,14538,254594.00,
500132,EMPEE SUGARS,Z ,Q,1.03,1.03,1.03,1.03,1.03,1.01,1,100,103.00,
500133,ESAB INDIA  ,B ,Q,1075.00,1110.00,1070.00,1090.70,1090.00,1089.15,29,315,342853.00,
500135,ESSEL PROP  ,B ,Q,130.20,130.90,129.75,130.20,130.20,130.85,52,5971,777547.00,
500136,ESTER INDUS.,B ,Q,35.00,35.00,33.30,33.45,33.30,34.50,62,3418,114574.00,
500141,FERRO ALLOYS,X ,Q,3.71,4.00,3.62,3.67,3.67,3.74,83,56101,209805.00,
500144,FINOL. CABLE,A ,Q,451.15,451.50,441.50,445.75,447.05,455.95,166,1514,673005.00,
500147,CMI FPE     ,X ,Q,1060.05,1113.00,1060.05,1113.00,1113.00,1111.55,17,103,111633.00,
500148,UFLEX LTD   ,A ,Q,244.95,246.90,242.85,245.70,244.10,247.40,108,1472,360298.00,
500151,GOLDEN TOB  ,B ,Q,36.00,36.00,33.60,33.60,33.60,35.30,2,55,1860.00,
500153,GANESH BENZO,X ,Q,41.00,42.35,36.40,40.75,41.65,41.65,423,89090,3491316.00,
500155,GARDEN SILK ,B ,Q,16.05,17.25,15.15,15.40,15.25,15.90,32,3758,58920.00,
500159,METROGLOBL  ,X ,Q,59.00,59.00,59.00,59.00,59.00,60.30,2,4,236.00,
500160,GTL LTD.    ,B ,Q,3.20,3.70,3.20,3.32,3.36,3.47,26,1785,5983.00,
500163,GODFREY PH  ,A ,Q,905.00,905.00,882.00,892.05,891.95,904.80,437,10595,9464619.00,
500164,GODREJ IND  ,A ,Q,470.00,474.30,465.00,470.95,473.90,474.70,299,9640,4539044.00,
500165,KANSAI NERO ,A ,Q,464.00,469.00,453.65,462.80,463.75,461.10,618,7540,3460572.00,XD
500166,GOODRICKE   ,X ,Q,196.60,196.60,184.10,185.00,184.50,188.75,90,4287,797026.00,
500168,GOODYEAR (I),B ,Q,952.15,952.15,941.30,944.25,942.90,952.15,66,883,836104.00,
500171,GHCL LTD    ,A ,Q,241.60,242.10,237.00,238.55,237.20,244.20,155,7883,1883492.00,
500173,GUJ.FLOURO  ,A ,Q,1052.10,1080.00,1024.80,1064.95,1065.00,1057.10,493,2489,2608650.00,
500179,HCL INFOSYS ,B ,Q,14.45,14.45,13.85,14.20,14.20,14.35,203,54737,770504.00,
500180,HDFC BANK   ,A ,Q,2445.00,2454.15,2415.00,2447.30,2447.30,2427.40,4561,162574,396106892.00,
500182,HEROMOTOCO  ,A ,Q,2745.15,2763.90,2687.40,2707.70,2707.05,2732.90,2285,35397,95968497.00,
500183,HIMACHAL FUT,A ,Q,21.35,21.35,20.75,20.95,20.95,21.10,841,246069,5148177.00,
500184,HSCL        ,A ,Q,115.85,115.85,110.75,111.05,111.05,114.05,568,63954,7129183.00,
500185,HIND.CONSTN.,A ,Q,12.90,13.08,12.10,12.77,12.77,12.66,1929,362905,4613775.00,
500186,HIND.OIL EXP,B ,Q,120.85,121.70,118.00,120.45,119.55,121.25,191,18190,2179969.00,
500187,HSIL        ,B ,Q,262.00,263.65,248.85,255.00,253.05,264.65,495,11646,2955841.00,
500188,HINDUS.ZI   ,A ,Q,241.45,241.65,239.20,240.35,240.35,241.70,344,16014,3848573.00,
500189,HINDUJA VENT,B ,Q,378.00,380.90,371.35,379.75,379.75,382.45,13,1272,480527.00,
500191,HMT LTD.    ,Z ,Q,16.75,17.50,16.50,16.95,16.95,17.00,23,5094,85273.00,
500193,HOTEL LEELA.,B ,Q,8.02,8.26,8.02,8.08,8.05,8.18,39,9744,79217.00,
500199,I.G.PETRO   ,B ,Q,279.45,279.45,259.25,268.50,267.50,272.30,67,852,227860.00,
